,RF00005,RF01960,RF02541,RF01852,RF02796,RF00017,RF00167,RF01854,RF02543,RF00002,RF00168,RF00020,RF00001,RF00026,RF00004,RF00037,RF01750,RF00177,RF00023,RF02540,RF00458,RF01846,RF01734,RF00059,RF01051,RF00011,RF02545,RF00162,RF00100,RF01831,RF00505,RF01725,RF02546,RF00164,RF01786,RF00015,RF01510,RF00032,RF00010,RF00029,RF02680,RF00009,RF00050,RF02553,RF01357,RF01807,RF00379,RF01689,RF00233,RF00390,RF01763,RF00169,RF00008,RF00442,RF00061,RF02012,RF02683,RF02519,RF00382,RF01739,RF00504,RF00488,RF01857,RF00250,RF00080,RF00028,RF02001,RF01998,RF02348,RF00234,RF00013,RF01826,RF02253,RF00174,RF00380
174,4wr6_1_1L_1-82,6rbe_1_2_1-1800,4v7s_1_DA_1-2903,5kpx_1_26_1-91,,,,,5on6_1_1_4-3396,5lyb_1_1_2-155,,,4v7v_1_DB_2-117,,,,,6gbz_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v9b_1_CA_20-55,,,,,,,,,,,,,,,,
175,4v8e_1_DD_1-82,6eml_1_2_1-1800,4v7u_1_DA_1-2904,6q97_1_2_1-91,,,,,5on6_1_4_4-3396,5lyb_1_4_2-155,,,4v7s_1_DB_2-117,,,,,5kps_1_28_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wr6_1_13_20-55,,,,,,,,,,,,,,,,
176,4v8f_1_CD_1-82,6gqb_1_2_1-1797,4v6e_1_DA_1-2903,3jbu_1_A_1-91,,,,,5lyb_1_1_2-3394,5on6_1_AR_2-155,,,4v7u_1_DB_2-117,,,,,5uyn_1_01_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ibl_1_A_20-55,,,,,,,,,,,,,,,,
177,4v8f_1_BD_1-82,6gqv_1_2_1-1797,4v5b_1_CB_1-2904,6ot3_1_2_1-91,,,,,5lyb_1_4_4-3396,5on6_1_AT_2-155,,,4v6e_1_DB_2-117,,,,,6gc0_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v9b_1_AA_20-55,,,,,,,,,,,,,,,,
178,4wra_1_1L_1-82,4u4o_1_6_1-1800,4v5b_1_AB_1-2904,5np6_1_D_1-91,,,,,5on6_1_AR_4-3396,5ndv_1_5_2-155,,,4v5b_1_CA_3-118,,,,,3j9y_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wra_1_1G_20-55,,,,,,,,,,,,,,,,
179,4v8d_1_CB_1-82,4u4o_1_2_1-1800,5j5b_1_DA_1-2904,3ja1_1_SA_1-91,,,,,5on6_1_AT_4-3396,5ndv_1_8_2-155,,,4v5b_1_AA_3-118,,,,,6gxo_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5doy_1_2a_20-55,,,,,,,,,,,,,,,,
180,4v8e_1_BB_1-82,5ll6_1_2_1-1798,4v4h_1_DB_1-2904,6nqb_1_A_1-91,,,,,5ndv_1_5_4-3396,5ndw_1_1_2-155,,,5j5b_1_DB_3-118,,,,,6gxn_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4dr7_1_A_20-55,,,,,,,,,,,,,,,,
181,4v8e_1_DB_1-82,4v5o_1_BA_1-1753,4v4h_1_BB_1-2904,5u4j_1_a_1-91,,,,,5ndv_1_8_4-3396,5ndw_1_4_2-155,,,4v4h_1_BA_3-118,,,,,6o9k_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4w2e_1_a_20-55,,,,,,,,,,,,,,,,
182,4v8f_1_BB_1-82,4v5o_1_AA_1-1753,5j5b_1_CA_1-2904,3w3s_1_B_1-95,,,,,5ndw_1_1_4-3396,5ndw_1_5_2-155,,,4v4h_1_DA_3-118,,,,,6o9j_1_B_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6o97_1_2a_20-55,,,,,,,,,,,,,,,,
183,6n1d_1_BATN_1-82,4bts_1_AA_1-1753,6hrm_1_1_1507-4403,3add_1_C_1-88,,,,,5ndw_1_4_4-3396,5ndw_1_8_2-155,,,5j5b_1_CB_3-118,,,,,5kpx_1_27_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6c5l_1_AA_20-55,,,,,,,,,,,,,,,,
184,4v8f_1_CB_1-82,4bts_1_CA_1-1753,6pj6_1_I_1-2903,3add_1_D_1-88,,,,,5ndw_1_5_4-3396,5ndg_1_5_2-155,,,6pj6_1_J_2-118,,,,,3jcd_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6c5l_1_CA_20-55,,,,,,,,,,,,,,,,
185,1qtq_1_B_1-72,4bts_1_DA_1-1753,6tbv_1_23S1_1-2903,3adb_1_D_1-88,,,,,5ndw_1_8_4-3396,5ndg_1_8_2-155,,,6tbv_1_05S1_2-118,,,,,4uy8_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v8b_1_CA_20-55,,,,,,,,,,,,,,,,
186,4jxx_1_B_1-72,4bts_1_BA_1-1753,6tc3_1_23S1_1-2903,3adb_1_C_1-88,,,,,5ndg_1_5_4-3396,5ndg_1_1_2-155,,,6tc3_1_05S1_2-118,,,,,5kcs_1_1A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v95_1_CA_20-55,,,,,,,,,,,,,,,,
187,1zjw_1_B_1-72,,6qdw_1_b_1-2903,3adc_1_C_1-88,,,,,5ndg_1_8_4-3396,5ndg_1_4_2-155,,,6qdw_1_a_2-118,,,,,6ot3_1_1_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v9s_1_AA_20-55,,,,,,,,,,,,,,,,
188,4v7m_1_AW_1-72,,5afi_1_A_1-2903,3adc_1_D_1-88,,,,,5ndg_1_1_4-3396,5tgm_1_1_2-155,,,5afi_1_B_3-118,,,,,6q97_1_1_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wu1_1_13_20-55,,,,,,,,,,,,,,,,
189,4v7m_1_CW_1-72,,6u48_1_CA_1-2903,,,,,,5ndg_1_4_4-3396,5tgm_1_4_2-155,,,6ore_1_3_2-118,,,,,3j7z_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1vy5_1_AA_20-55,,,,,,,,,,,,,,,,
190,4v7l_1_AW_1-72,,5nwy_1_N_1-2903,,,,,,5tgm_1_1_2-3149,5tgm_1_5_2-155,,,6u48_1_CB_2-118,,,,,5np6_1_Y_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wu1_1_1G_20-55,,,,,,,,,,,,,,,,
191,4v7l_1_CW_1-72,,5h5u_1_A_1-2903,,,,,,5tgm_1_4_4-3396,5tgm_1_8_2-155,,,5nwy_1_O_3-118,,,,,3ja1_1_LA_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wr6_1_1G_20-55,,,,,,,,,,,,,,,,
192,1euy_1_B_1-71,,6ore_1_1_1-2903,,,,,,5tgm_1_5_2-3150,4v7r_1_B1_2-155,,,5mdv_1_3_3-118,,,,,6c4h_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v7j_1_Aa_20-55,,,,,,,,,,,,,,,,
193,4v7l_1_AY_1-72,,5mdv_1_1_1-2904,,,,,,5tgm_1_8_4-3396,4v7r_1_B3_2-155,,,5h5u_1_B_3-118,,,,,5u4j_1_A_1-1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4yzv_1_XA_20-55,,,,,,,,,,,,,,,,
194,4v7l_1_CY_1-72,,6h4n_1_A_1-2903,,,,,,4v7r_1_B1_4-3396,4v7r_1_D1_2-155,,,6hrm_1_3_3-118,,,,,5j7l_1_AA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v9s_1_CA_20-55,,,,,,,,,,,,,,,,
195,1euq_1_B_1-69,,5mdw_1_1_1-2904,,,,,,4v7r_1_B3_4-3396,4v7r_1_D3_2-155,,,6h4n_1_B_3-118,,,,,4ybb_1_AA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6dti_1_A_20-55,,,,,,,,,,,,,,,,
196,1qrs_1_B_1-72,,6szs_1_A_1-2903,,,,,,4v7r_1_D1_4-3396,5dat_1_5_2-155,,,6qul_1_B_2-118,,,,,5j8a_1_AA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wqu_1_BA_20-55,,,,,,,,,,,,,,,,
197,1qrt_1_B_1-72,,5mgp_1_A_1-2903,,,,,,4v7r_1_D3_4-3396,5dat_1_8_2-155,,,6szs_1_B_2-118,,,,,5jc9_1_AA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v7j_1_Ba_20-55,,,,,,,,,,,,,,,,
198,1qru_1_B_1-72,,5mdz_1_1_1-2904,,,,,,5dat_1_5_4-3396,5dgv_1_5_2-155,,,5wfs_1_B_3-118,,,,,4woi_1_DA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4zer_1_1a_20-55,,,,,,,,,,,,,,,,
199,1gtr_1_B_1-71,,6s0k_1_A_1-2903,,,,,,5dat_1_8_4-3396,5dgv_1_8_2-155,,,5mdz_1_3_3-118,,,,,4woi_1_AA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v9r_1_CA_20-55,,,,,,,,,,,,,,,,
200,2rd2_1_B_1-72,,5u9g_1_01_1-2903,,,,,,5dgv_1_5_4-3396,5dat_1_1_2-155,,,6s0k_1_B_2-118,,,,,5it8_1_AA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4zer_1_2a_20-55,,,,,,,,,,,,,,,,
201,1gts_1_B_1-71,,5u9f_1_01_1-2903,,,,,,5dgv_1_8_4-3396,5dat_1_4_2-155,,,6enu_1_B_3-118,,,,,4v9p_1_FA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wt1_1_1G_20-55,,,,,,,,,,,,,,,,
202,5nwy_1_M_1-72,,5uym_1_01_1-2903,,,,,,5dat_1_1_4-3396,5dgv_1_1_2-155,,,5mdw_1_3_3-118,,,,,4v9o_1_BA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5wit_1_2a_20-55,,,,,,,,,,,,,,,,
203,2re8_1_B_1-72,,6enu_1_A_1-2903,,,,,,5dat_1_4_4-3396,5dgv_1_4_2-155,,,5mgp_1_B_3-118,,,,,5j7l_1_BA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v9r_1_AA_20-55,,,,,,,,,,,,,,,,
204,1o0c_1_B_1-72,,6qul_1_A_1-2903,,,,,,5dgv_1_1_4-3396,5dge_1_5_2-155,,,6enf_1_B_3-118,,,,,4v9p_1_HA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5el5_1_1G_20-55,,,,,,,,,,,,,,,,
205,1o0b_1_B_1-72,,5wfs_1_A_1-2903,,,,,,5dgv_1_4_4-3396,5dge_1_8_2-155,,,5u9g_1_02_3-118,,,,,4v9p_1_DA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6nd6_1_1a_20-55,,,,,,,,,,,,,,,,
206,1exd_1_B_1-70,,6og7_1_1_1-2903,,,,,,5dge_1_5_4-3396,5tga_1_5_2-155,,,5u9f_1_02_3-118,,,,,4v9p_1_BA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4w2f_1_CA_20-55,,,,,,,,,,,,,,,,
207,3zgz_1_B_2-85,,5we4_1_A_1-2903,,,,,,5dge_1_8_4-3396,5tga_1_8_2-155,,,5uym_1_02_3-118,,,,,5j8a_1_BA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6uo1_1_1a_20-55,,,,,,,,,,,,,,,,
208,4aq7_1_B_1-84,,6ofx_1_1_1-2903,,,,,,5tga_1_5_2-3394,5dgf_1_5_2-155,,,6c4i_1_B_3-118,,,,,4v9o_1_FA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wzo_1_1G_20-55,,,,,,,,,,,,,,,,
209,5omw_1_B_1-84,,3jbv_1_b_1-2904,,,,,,5tga_1_8_4-3396,5dgf_1_8_2-155,,,5wdt_1_B_3-118,,,,,5j91_1_AA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1hnw_1_A_20-55,,,,,,,,,,,,,,,,
210,3zgz_1_E_2-85,,4v80_1_BA_1-2903,,,,,,5dgf_1_5_4-3396,5tga_1_1_2-155,,,6og7_1_2_2-118,,,,,6i7v_1_AA_1-1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ypb_1_XA_20-55,,,,,,,,,,,,,,,,
211,4as1_1_B_1-84,,6c4i_1_A_1-2904,,,,,,5dgf_1_8_4-3396,5tga_1_4_2-155,,,5we4_1_B_3-118,,,,,4v6c_1_AA_1-1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v5j_1_CA_20-55,,,,,,,,,,,,,,,,
212,4ari_1_B_1-84,,4v80_1_DA_1-2903,,,,,,5tga_1_1_2-3394,5dgf_1_1_2-155,,,6ofx_1_2_2-118,,,,,5jc9_1_BA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wzo_1_13_20-55,,,,,,,,,,,,,,,,
213,4aq7_1_E_1-84,,5wdt_1_A_1-2903,,,,,,5tga_1_4_4-3396,5dgf_1_4_2-155,,,4v80_1_BB_2-118,,,,,4v52_1_CA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4y4p_1_2a_20-55,,,,,,,,,,,,,,,,
214,4cqn_1_B_1-79,,6enf_1_A_1-2903,,,,,,5dgf_1_1_4-3396,5dge_1_1_2-155,,,4v80_1_DB_2-118,,,,,4v9o_1_DA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v5q_1_AA_20-55,,,,,,,,,,,,,,,,
215,3zjt_1_B_2-85,,6ogi_1_1_1-2903,,,,,,5dgf_1_4_4-3396,5dge_1_4_2-155,,,3jbv_1_a_3-118,,,,,4v7t_1_AA_1-1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v5p_1_CA_20-55,,,,,,,,,,,,,,,,
216,5omw_1_E_1-84,,5gae_1_A_1-2903,,,,,,5dge_1_1_4-3396,5dc3_1_5_2-155,,,5gae_1_B_3-118,,,,,4v57_1_CA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v5s_1_AA_20-55,,,,,,,,,,,,,,,,
217,5on2_1_B_1-84,,3jce_1_A_1-2904,,,,,,5dge_1_4_4-3396,5dc3_1_8_2-155,,,6i0y_1_B_2-117,,,,,4www_1_QA_1-1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1vy7_1_AA_20-55,,,,,,,,,,,,,,,,
218,3zju_1_B_1-84,,5mdy_1_1_1-2904,,,,,,5dc3_1_5_4-3396,5dc3_1_1_2-155,,,5mdy_1_3_3-118,,,,,4v52_1_AA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6uo1_1_2a_20-55,,,,,,,,,,,,,,,,
219,5onh_1_B_1-84,,5lzd_1_A_1-2903,,,,,,5dc3_1_8_4-3396,5dc3_1_4_2-155,,,5wfk_1_B_3-118,,,,,4v57_1_AA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4zsn_1_XA_20-55,,,,,,,,,,,,,,,,
220,5on2_1_E_1-84,,5we6_1_A_1-2903,,,,,,5dc3_1_1_4-3396,6t4q_1_C1_2-155,,,5lzd_1_B_3-118,,,,,4u27_1_AA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ypb_1_QA_20-55,,,,,,,,,,,,,,,,
221,5onh_1_E_1-84,,6i0y_1_A_1-2903,,,,,,5dc3_1_4_4-3396,6t4q_1_C3_2-155,,,6ogi_1_2_2-118,,,,,5j88_1_AA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v5l_1_AA_20-55,,,,,,,,,,,,,,,,
222,4arc_1_B_1-84,,6bu8_1_01_1-2903,,,,,,6t4q_1_C1_4-3396,6snt_1_1_2-155,,,3jce_1_B_3-118,,,,,4v7v_1_AA_1-1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4yzv_1_QA_20-55,,,,,,,,,,,,,,,,
223,5on3_1_B_1-84,,5wfk_1_A_1-2903,,,,,,6t4q_1_C3_4-3396,6snt_1_3_2-155,,,5o2r_1_B_3-118,,,,,4v54_1_CA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wqf_1_BA_20-55,,,,,,,,,,,,,,,,
224,4cqn_1_E_1-79,,5o2r_1_A_1-2903,,,,,,6snt_1_1_4-3396,4u4r_1_1_2-155,,,5lze_1_B_3-118,,,,,4wf1_1_AA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1vy6_1_AA_20-55,,,,,,,,,,,,,,,,
225,3zjv_1_B_1-84,,5lze_1_A_1-2903,,,,,,6snt_1_3_4-3396,4u4r_1_4_2-155,,,6bu8_1_02_3-118,,,,,4ybb_1_BA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v5c_1_AA_20-55,,,,,,,,,,,,,,,,
226,5on3_1_E_1-84,,5u4i_1_A_1-2904,,,,,,4u4r_1_1_4-3396,4u4r_1_5_2-155,,,6osq_1_3_2-118,,,,,4u1u_1_AA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v5p_1_AA_20-55,,,,,,,,,,,,,,,,
227,2nqp_1_F_1-84,,5uyl_1_01_1-2903,,,,,,4u4r_1_4_4-3396,4u4r_1_8_2-155,,,5u4i_1_B_2-117,,,,,4v64_1_CA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v5j_1_AA_20-55,,,,,,,,,,,,,,,,
228,1qu2_1_T_1-74,,5iqr_1_1_1-2904,,,,,,4u4r_1_5_4-3396,4u3u_1_5_2-155,,,6orl_1_3_2-118,,,,,4u26_1_AA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3oto_1_A_20-55,,,,,,,,,,,,,,,,
229,1qu3_1_T_1-74,,6osq_1_1_1-2903,,,,,,4u4r_1_8_4-3396,4u3u_1_8_2-155,,,5kcr_1_1B_3-118,,,,,4v53_1_CA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ndj_1_1G_20-55,,,,,,,,,,,,,,,,
230,1ffy_1_T_1-74,,3jbu_1_b_1-2904,,,,,,4u3u_1_5_4-3396,4u3u_1_1_2-155,,,5lza_1_B_3-118,,,,,4v9d_1_AA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wro_1_13_20-55,,,,,,,,,,,,,,,,
231,6of1_1_1w_1-73,,5lza_1_A_1-2903,,,,,,4u3u_1_8_4-3396,4u3u_1_4_2-155,,,5uyl_1_02_3-118,,,,,6i7v_1_BA_1-1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1xnr_1_A_20-55,,,,,,,,,,,,,,,,
232,5ibb_1_1K_1-73,,5kcr_1_1A_1-2904,,,,,,4u3u_1_1_4-3396,4u3m_1_1_2-155,,,5we6_1_B_3-118,,,,,4u24_1_AA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v5s_1_CA_20-55,,,,,,,,,,,,,,,,
233,6cae_1_1y_1-73,,5ju8_1_BA_1-2903,,,,,,4u3u_1_4_4-3396,4u3m_1_4_2-155,,,5iqr_1_3_2-117,,,,,4v7s_1_AA_1-1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v6f_1_CA_20-55,,,,,,,,,,,,,,,,
234,6o97_1_1w_1-73,,5jte_1_BA_1-2897,,,,,,4u3m_1_1_4-3396,4u4q_1_5_2-155,,,5wf0_1_B_3-118,,,,,4u25_1_AA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4zsn_1_QA_20-55,,,,,,,,,,,,,,,,
235,6of1_1_1y_1-73,,6orl_1_1_1-2903,,,,,,4u3m_1_4_4-3396,4u4q_1_8_2-155,,,6enj_1_B_3-118,,,,,5it8_1_BA_1-1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6nd6_1_2a_20-55,,,,,,,,,,,,,,,,
236,6by1_1_AW_1-73,,6osk_1_1_1-2903,,,,,,4u4q_1_5_4-3396,4u3m_1_5_2-155,,,3jbu_1_a_3-118,,,,,4v56_1_CA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ndj_1_13_20-55,,,,,,,,,,,,,,,,
237,6of1_1_2w_1-73,,3j9z_1_LA_1-2904,,,,,,4u4q_1_8_4-3396,4u3m_1_8_2-155,,,5l3p_1_B_3-118,,,,,4v9d_1_BA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4l47_1_XA_20-55,,,,,,,,,,,,,,,,
238,6o97_1_1y_1-73,,6dnc_1_B_1-2903,,,,,,4u3m_1_5_4-3396,4u4u_1_1_2-155,,,5gad_1_B_3-118,,,,,4v54_1_AA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5v8i_1_1a_20-55,,,,,,,,,,,,,,,,
239,6nd6_1_1y_1-73,,3jcj_1_A_1-2904,,,,,,4u3m_1_8_4-3396,4u4u_1_4_2-155,,,6osk_1_3_2-118,,,,,4u27_1_CA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1xmq_1_A_20-55,,,,,,,,,,,,,,,,
240,6by1_1_BW_1-73,,5wf0_1_A_1-2903,,,,,,4u4u_1_1_4-3396,4u4q_1_1_2-155,,,3j9z_1_LB_3-118,,,,,4v64_1_AA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1vy5_1_CA_20-55,,,,,,,,,,,,,,,,
241,5ibb_1_3L_1-73,,5uyq_1_01_1-2903,,,,,,4u4u_1_4_4-3396,4u4q_1_4_2-155,,,6q9a_1_3_2-118,,,,,4v53_1_AA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v6f_1_BA_20-55,,,,,,,,,,,,,,,,
242,6cae_1_1w_1-73,,6enj_1_A_1-2903,,,,,,4u4q_1_1_4-3396,4u4u_1_5_2-155,,,6dnc_1_C_3-118,,,,,4v56_1_AA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v51_1_AA_20-55,,,,,,,,,,,,,,,,
243,6by1_1_BV_1-73,,6q9a_1_1_1-2903,,,,,,4u4q_1_4_4-3396,4u4u_1_8_2-155,,,5ju8_1_BB_3-118,,,,,4v7u_1_AA_1-1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v7m_1_CA_20-55,,,,,,,,,,,,,,,,
244,6by1_1_AV_1-73,,5l3p_1_A_1-2903,,,,,,4u4u_1_5_4-3396,4u52_1_5_2-155,,,5jte_1_BB_3-118,,,,,4v55_1_CA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4l47_1_QA_20-55,,,,,,,,,,,,,,,,
245,6of1_1_2y_1-73,,5gad_1_A_1-2903,,,,,,4u4u_1_8_4-3396,4u52_1_8_2-155,,,3jcj_1_0_2-117,,,,,4v50_1_CA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v8c_1_DA_20-55,,,,,,,,,,,,,,,,
246,6cae_1_2y_1-73,,6gc8_1_A_1-2904,,,,,,4u52_1_5_4-3396,4u52_1_1_2-155,,,5uyq_1_02_3-118,,,,,4v9o_1_HA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1hr0_1_A_20-55,,,,,,,,,,,,,,,,
247,6nd6_1_1w_1-73,,5uyp_1_01_1-2903,,,,,,4u52_1_8_4-3396,4u52_1_4_2-155,,,5gah_1_B_3-118,,,,,4www_1_XA_1-1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v5q_1_CA_20-55,,,,,,,,,,,,,,,,
248,6cae_1_2w_1-73,,5uyk_1_01_1-2903,,,,,,4u52_1_1_4-3396,6q8y_1_BQ_2-155,,,6gwt_1_B_3-118,,,,,4v4q_1_CA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1vy6_1_CA_20-55,,,,,,,,,,,,,,,,
249,6o97_1_2y_1-73,,6ogf_1_1_1-2903,,,,,,4u52_1_4_4-3396,6q8y_1_BS_2-155,,,6gxm_1_B_3-118,,,,,4u20_1_AA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ibm_1_A_20-55,,,,,,,,,,,,,,,,
250,5ibb_1_3K_1-73,,6gwt_1_A_1-2903,,,,,,6q8y_1_BQ_4-3396,5m1j_1_14_2-155,,,6gbz_1_B_3-118,,,,,4v55_1_AA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4wqf_1_DA_20-55,,,,,,,,,,,,,,,,
251,6nd6_1_2y_1-73,,6ouo_1_1_1-2903,,,,,,6q8y_1_BS_4-3396,5m1j_1_44_2-155,,,6ouo_1_3_2-118,,,,,4u1u_1_CA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v8c_1_CA_20-55,,,,,,,,,,,,,,,,
252,6o97_1_2w_1-73,,5kpw_1_27_1-2903,,,,,,5m1j_1_14_4-3396,6t7t_1_C1_2-155,,,6gc8_1_B_3-118,,,,,4v50_1_AA_1-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4tua_1_XA_20-55,,,,,,,,,,,,,,,,
253,6nd6_1_2w_1-73,,6gxm_1_A_1-2903,,,,,,5m1j_1_44_4-3396,6t7t_1_C3_2-155,,,5gag_1_B_3-118,,,,,4u1v_1_AA_1-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v8q_1_BA_20-55,,,,,,,,,,,,,,,,
